,logFC,logCPM,LR,PValue,FDR,log_PValue,log_FDR,desc
Tb927.8.130,-1.9525710199092359,-1.9979680092943348,11.76577114178802,0.0006032988349717935,0.0008692322729265498,3.219467513347295,3.060864157531311,variant surface glycoprotein (VSG  atypical)  putative
Tb927.8.150,-0.8664739971849135,-0.5105419810221751,5.789451601275431,0.016122617869817592,0.020692912469748637,1.7925644393232152,1.6841783792944909,variant surface glycoprotein  degenerate
Tb927.8.230,-1.3717986688493768,-2.401781984610477,7.275866163930517,0.006988718437575359,0.009273693572383218,2.1556024560879923,2.0327472584533375,expression site-associated gene 3 (ESAG3)  degenerate
Tb927.8.270,-0.488914723422129,4.138165114813974,17.39505203782682,3.0361532150945626e-05,4.767485448243988e-05,4.517676316178682,4.321710623873353,variant surface glycoprotein  degenerate
Tb927.8.320,-1.8985494512259584,-0.4645485973956453,23.927400240581733,1.000377561801034e-06,1.7166673208575995e-06,5.999836057940416,5.765313860176652,variant surface glycoprotein  degenerate
Tb927.8.443,-2.309192605145538,0.7800662730626458,31.24142463087182,2.278517497263922e-08,4.2934751347697036e-08,7.64234763202075,7.367191047930878,M4 ribosomal RNA
Tb927.8.470,-1.2575654123467703,0.844881826078559,21.99054474858839,2.7399696515244533e-06,4.573624232387648e-06,5.5622542474892676,5.339739519769567,variant surface glycoprotein  degenerate
Tb927.8.480,-0.8851235015589182,4.250060817977641,16.5742378318786,4.678221601700708e-05,7.267639359266975e-05,4.329919210035125,4.138606631744618,phosphatidic acid phosphatase protein  putative
Tb927.8.490,-0.6130642094663337,1.8593774089299697,7.9588531789382095,0.004785272492836899,0.006441099766655283,2.320093326692588,2.191039973973679,hypothetical protein
Tb927.8.500,-3.3442392816963444,1.172868828090322,136.3057010307837,1.7105918304347877e-31,8.19924355333827e-31,30.766853606436186,30.08622621295347,hypothetical protein
Tb927.8.510,-1.7275509278813965,1.1310599521199693,28.933242485284506,7.491612007555979e-08,1.3712801784704408e-07,7.125424722933317,6.862873801569309,hypothetical protein
Tb927.8.520,-3.601978229436758,3.0972687294293664,440.74062350185653,7.468928558251742e-98,2.793932534753429e-96,97.12674169465224,95.55378408502858,hypothetical protein
Tb927.8.530,-1.6209857978615585,6.431703813800093,360.03203192427384,2.770825025821248e-80,6.046213868072909e-79,79.55739089851211,78.21851649492181,leucine-rich repeat protein (LRRP)  point mutation
Tb927.8.540,-1.0770532261096473,7.666414011292963,73.97866762923272,7.896579355688496e-18,2.289004347876903e-17,17.10256099588195,16.640353382398786,N-terminal region of Chorein  a TM vesicle-mediated sorter  putative
Tb927.8.550,0.775937802378404,6.499794706141263,110.25398192677059,8.620678805327773e-26,3.3617318893363133e-25,25.06445853582247,24.47343692612108,peptide methionine sulfoxide reductase  putative
Tb927.8.560,0.1938101412031705,6.3340005295813935,8.712393573454417,0.0031605396153853273,0.004313709475052947,2.5002387616926747,2.3651491076410083,hypothetical protein  conserved
Tb927.8.570,0.13869497693968735,7.329181094239514,1.7142540467191205,0.190434358658445,0.21694665093702967,0.7202546923508373,0.6636470498020848,proteasome regulatory non-ATP-ase subunit 10
Tb927.8.580,-0.2226894662368124,5.725832785905962,11.473284195056102,0.0007060380118316708,0.001011384610201583,3.151171916675754,2.9950836591228747,MICOS complex subunit 40
Tb927.8.590,-0.2943687353433306,6.65030973200696,13.774397405589665,0.00020612624984247594,0.0003071906800982936,3.685866698003362,3.512591964562669,carnitine O-palmitoyltransferase  putative
Tb927.8.595,0.39405341877851124,5.655654146299592,28.05755428562786,1.177605282621358e-07,2.1309622083780396e-07,6.929000254799919,6.671424252227804,hypothetical protein
