,gene_ks,gene_sensitive,logFC,logCPM,LR,PValue,FDR,reg_type,desc,selected
0,KS17gene_5a,Tb05.5K5.250,0.07838157384775621,3.296331176008673,0.38640679957696555,0.5341942134775772,0.5598667144930426,,hypothetical protein,0
1,KS17gene_4422a,Tb927.1.110,2.398103457143779,6.9035409869107,1182.0947919248051,4.7492461527316526e-259,7.808644255770414e-257,,hypothetical protein  conserved,0
2,KS17gene_30a,Tb927.1.275,1.2285516013656164,5.254546297849034,375.66482181081625,1.0934822649600747e-83,1.0496835863228415e-82,,expression site-associated gene 4 (ESAG4)  pseudogene,0
3,KS17gene_33a,Tb927.1.300,2.5412558393758524,6.537823649857213,603.2619869097077,3.268090706954159e-133,7.186750014981619e-132,,retrotransposon hot spot protein (RHS  pseudogene)  putative,0
4,KS17gene_34a,Tb927.1.410,3.4962435081918035,6.534084409743561,1552.9469811987326,0.0,0.0,,retrotransposon hot spot protein (RHS  pseudogene)  putative,0
5,KS17gene_40a,Tb927.1.990,0.9354440904999377,4.663173378498589,186.4178438002091,1.9243170999358422e-42,8.078932242604753e-42,,Enkuring domain-containig protein,0
6,KS17gene_46a,Tb927.1.1200,-0.37841065678615077,3.1429622691291317,9.005643807610657,0.0026914716203067057,0.0034876657543197235,,Mitochondrial ribosomal protein S15,0
7,KS17gene_49a,Tb927.1.1350,-1.622405349030483,1.98975972509175,89.99301172283558,2.390027196451515e-21,5.9550633582069465e-21,,kinesin heavy chain  putative,0
8,KS17gene_52a,Tb927.1.1540,2.310915640249565,4.385249889552391,536.2644076131996,1.2249205784790131e-118,2.1841585094190728e-117,,Tubulin/FtsZ family  putative,0
9,KS17gene_57a,Tb927.1.1610,-0.08539341541991712,2.1103331854260734,0.44871604598924364,0.5029453150859974,0.52902229824563,,hypothetical protein  conserved,0
10,KS17gene_61a,Tb927.1.1720,-1.5612242626187047,2.3537872410546274,126.52862534073118,2.3557907097252837e-29,7.219523328026768e-29,,cyclophilin 15  putative,0
11,KS17gene_68a,Tb927.1.1820,-0.77815818151431,4.526660888223106,83.31572385900753,6.994106553466067e-20,1.6671723982806842e-19,,hypothetical PIN domain-containing protein,0
12,KS17gene_70a,Tb927.1.1840,-0.7522416042050748,3.121619765989643,24.522500416654516,7.344711691247192e-07,1.1410044310507064e-06,,conserved protein  unknown function,0
13,KS17gene_73a,Tb927.1.1890,-1.6148693996964363,2.7445557183323235,181.10648128414994,2.7786545911410324e-41,1.1395062621442632e-40,,Replication Factor C Subunit 1-related protein,0
14,KS17gene_75a,Tb927.1.1910,0.08685153865673016,4.899020395649989,1.2965314942834514,0.25484775934753695,0.27884758315980596,,MORN repeat-containing protein,0
15,KS17gene_81a,Tb927.1.1960,-0.45391297054915514,5.240134126903068,40.848371952601234,1.6451024938061534e-10,2.9296913428739305e-10,,chaperone protein DnaJ  putative,0
16,KS17gene_87a,Tb927.1.2100,0.41289975358264225,3.0106700467494196,11.534505748619058,0.0006831623750321027,0.000918068426435462,,Calpain-like protein 1.1,0
17,KS17gene_4379a,Tb927.1.2150,3.048514658447939,3.6656050177636286,230.4455947708243,4.766133435587371e-52,2.4795116548640703e-51,,Small kinetoplastid calpain-related protein 1-4,0
18,KS17gene_94a,Tb927.1.2190,-1.201507912023342,4.3707612307920325,184.17886549036166,5.930084193886646e-42,2.456823630282953e-41,,Raptor N-terminal CASPase like domain containing protein  putative,0
19,KS17gene_103a,Tb927.1.2600,2.5811171089745617,3.6994644155872227,177.24738720837914,1.9339821441541496e-40,7.784374471488664e-40,,pumilio/PUF RNA binding protein 9,0
20,KS17gene_108a,Tb927.1.2710,-0.6267820939289676,1.6823052269114656,18.2482490312957,1.939041134063676e-05,2.819915832115641e-05,,hypothetical protein  conserved,0
21,KS17gene_111a,Tb927.1.2750,-0.8902904152566703,5.018202225198662,203.73858350758414,3.1917293294117614e-46,1.4682709874879137e-45,,hypothetical protein  conserved,0
22,KS17gene_114a,Tb927.1.2970,1.5617581410916064,4.05377567079971,280.07204155429207,7.242642399331643e-63,4.663522929259993e-62,,hypothetical protein  conserved,0
23,KS17gene_131a,Tb927.1.3220,2.6343762618529603,2.0682133323195733,202.88980066435997,4.889165455447111e-46,2.2394816825404004e-45,,TBC1 domain family member 20/GTPase  putative,0
24,KS17gene_141a,Tb927.1.3310,-0.5167944878506218,4.801892562582505,33.49492057125282,7.1450344855893795e-09,1.2033204814939712e-08,,hypothetical protein  conserved,0
25,KS17gene_142a,Tb927.1.3320,1.2388627206182532,2.797653539517354,38.762409336021385,4.786575142982662e-10,8.401194390715805e-10,,leucine-rich repeat protein (LRRP)  putative,0
26,KS17gene_144a,Tb927.1.3670,0.680826174602157,5.1460258475791685,43.26234671836189,4.7870746037977506e-11,8.67477058794056e-11,,expression site-associated gene 8 (ESAG8) protein  putative,0
27,KS17gene_155a,Tb927.1.3910,-2.049588731959862,2.362408308542828,114.4309271504182,1.0485581898460467e-26,3.003162407215536e-26,,Anaphase-promoting complex subunit CDC23,0
28,KS17gene_159a,Tb927.1.4020,-1.61655988910178,0.007463055013519369,31.12707060654862,2.4167734008951073e-08,3.979177443951655e-08,increase,hypothetical protein,0
29,KS17gene_160a,Tb927.1.4040,-0.9541013523120997,3.7569410109367882,99.49461530516614,1.9669742043075996e-23,5.175477344419326e-23,,hypothetical protein  conserved,0
30,KS17gene_161a,Tb927.1.4100,-1.4127668696802174,2.6845692741112224,95.45067721948064,1.5162221799533164e-22,3.903036887773511e-22,,cytochrome oxidase subunit IV,0
31,KS17gene_165a,Tb927.1.4220,2.0889499918205225,2.8913176716960542,128.32565036148878,9.525803513272861e-30,2.951245873744046e-29,,Ydr279p protein family (RNase H2 complex component)  putative,0
32,KS17gene_171a,Tb927.1.4280,-1.2413818038895976,0.6098327165639685,48.11887345932969,4.01146626908857e-12,7.537824989357126e-12,increase,hypothetical protein  conserved,0
33,KS17gene_173a,Tb927.1.4340,-2.106359222922985,5.697275643869123,382.1823257334689,4.167140787957494e-85,4.123398932240655e-84,,hypothetical protein  conserved,0
34,KS17gene_175a,Tb927.1.4370,-0.8096717856892442,4.737339039000034,105.14329780793295,1.1361498922406788e-24,3.0942140747848997e-24,,Putative integral membrane protein conserved region (DUF2404)  putative,0
35,KS17gene_186a,Tb927.1.4500,-0.30248558045151014,5.207052291815032,14.860407361696696,0.00011576753105810325,0.00016189821868871327,,SNARE associated Golgi protein  putative,0
36,KS17gene_197a,Tb927.1.4760,-1.5160330038854095,2.058827904014225,126.31864252815045,2.6187200338986895e-29,8.013135961767468e-29,,Vacuolar sorting protein 39 domain 1/Vacuolar sorting protein 39 domain 2  putative,0
37,KS17gene_202a,Tb927.1.4890,0.7095996297774271,5.36246245624555,6.690141953270437,0.009694748519044094,0.012083185902096385,,expression site-associated gene 2 (ESAG2) protein  putative,0
38,KS17gene_205a,Tb927.1.4920,1.2748190848512497,3.3486274926866226,20.437722636052868,6.160347460888542e-06,9.187565984280558e-06,,hypothetical protein,0
39,KS17gene_4362a,Tb927.1.4970,1.0750636667390787,4.480228744679863,80.83209341952839,2.457344930181731e-19,5.764243084401075e-19,,hypothetical protein,0
40,KS17gene_210a,Tb927.1.5030,0.40122990340799086,4.33156652435274,21.415485130644417,3.697726567922083e-06,5.5759681849651545e-06,,leucine-rich repeat protein (LRRP)  putative,0
41,KS17gene_213a,Tb927.1.5060,0.04514670761893237,5.592568266436323,0.8182113447289634,0.36570364610900546,0.39213236945335084,,variant surface glycoprotein (VSG)-related  putative,0
42,KS17gene_215a,Tb927.1.5080,0.1344451037400638,5.175265711829157,1.463930772872061,0.2263057278093638,0.24917948849278962,,expression site-associated gene 9 (ESAG9) protein  putative,0
43,KS17gene_216a,Tb927.1.5100,0.09540251195872787,4.228581011798442,0.1555050303051324,0.6933291041028108,0.7137211365764228,,expression site-associated gene 2 (ESAG2) protein  putative,0
44,KS17gene_225a,Tb927.1.5200,0.2972408352401662,3.9741853591949834,1.4293412623875597,0.23187197488590514,0.25489152801731313,,expression site-associated gene 1 (ESAG1) protein  putative,0
45,KS17gene_227a,Tb927.2.200,0.9416379296027229,6.369438905886372,102.14894591088778,5.150022386387595e-24,1.3781475500287773e-23,,expression site-associated gene 3 (ESAG3)  degenerate,0
46,KS17gene_231a,Tb927.2.680,2.205828891873462,6.631214038714429,1136.125557082388,4.648527237613913e-249,6.77630671544956e-247,,Protein of unknown function (DUF1181)  putative,0
47,KS17gene_234a,Tb927.2.720,1.2611623562375127,4.824433681402507,120.10436861129384,6.001844790781615e-28,1.774698564233627e-27,,retrotransposon hot spot protein 5 (RHS5)  degenerate,0
48,KS17gene_236a,Tb927.2.900,0.6130634786839119,4.716517549616921,89.46923637478163,3.1144398469998886e-21,7.727352068183616e-21,,hypothetical protein,0
49,KS17gene_237a,Tb927.2.910,1.8177545480987938,5.12354296661458,574.9168668251888,4.78381065543387e-127,9.594763498983677e-126,,expression site-associated gene 4 (ESAG4)  degenerate,0
50,KS17gene_240a,Tb927.2.980,2.059804813761752,6.5308442237495035,528.5808332678375,5.7503862696528166e-117,9.940154260744601e-116,,retrotransposon hot spot protein 5 (RHS5)  degenerate,0
51,KS17gene_244a,Tb927.2.1330,2.3014070048264355,6.204013512112036,377.2079384378109,5.044785970817452e-84,4.872491367988987e-83,,retrotransposon hot spot protein 6 (RHS6)  degenerate,0
